,Unnamed: 0,Rank,Name,City,State,Public/Private,Undergraduate Population,Student Population,Net Price,Average Grant Aid,Total Annual Cost,Alumni Salary,Acceptance Rate,SAT Lower,SAT Upper,ACT Lower,ACT Upper,Website,School Type,Starting Median Salary,Mid-Career Median Salary,Mid-Career 10th Percentile Salary,Mid-Career 25th Percentile Salary,Mid-Career 75th Percentile Salary,Mid-Career 90th Percentile Salary,Region,aboutLocation
0,0,1.0,Harvard University,Cambridge,MA,Private,13844.0,31120.0,14327.0,49870.0,69600.0,146800.0,5.0,1460.0,1590.0,32.0,35.0,www.harvard.edu,Ivy League,"$63,400.00","$124,000.00","$54,800.00","$86,200.00","$179,000.00","$288,000.00",Northeastern,https://wikitravel.org/en/Cambridge_(Massachusetts)
1,1,3.0,Yale University,New Haven,CT,Private,6483.0,12974.0,18627.0,50897.0,71290.0,138300.0,7.0,1460.0,1580.0,32.0,35.0,www.yale.edu,Ivy League,"$59,100.00","$126,000.00","$58,000.00","$80,600.00","$198,000.00","$326,000.00",Northeastern,https://wikitravel.org/en/New_Haven
2,2,5.0,Princeton University,Princeton,NJ,Private,5659.0,8273.0,9327.0,48088.0,66150.0,139400.0,6.0,1430.0,1570.0,31.0,35.0,www.princeton.edu,Ivy League,"$66,500.00","$131,000.00","$68,900.00","$100,000.00","$190,000.00","$261,000.00",Northeastern,https://wikitravel.org/en/Princeton
3,3,6.0,University of Pennsylvania,Philadelphia,PA,Private,13437.0,25367.0,24242.0,44801.0,71715.0,133900.0,9.0,1420.0,1560.0,32.0,35.0,www.upenn.edu,Ivy League,"$60,900.00","$120,000.00","$55,900.00","$79,200.00","$192,000.00","$282,000.00",Northeastern,https://wikitravel.org/en/Philadelphia
4,4,7.0,Brown University,Providence,RI,Private,7390.0,10095.0,30205.0,42455.0,71050.0,127600.0,8.0,1405.0,1570.0,31.0,35.0,www.brown.edu,Ivy League,"$56,200.00","$109,000.00","$55,400.00","$74,400.00","$159,000.00","$228,000.00",Northeastern,https://wikitravel.org/en/Providence
5,5,10.0,Dartmouth College,Hanover,NH,Private,4693.0,6509.0,30421.0,47171.0,71827.0,130900.0,10.0,1430.0,1560.0,30.0,34.0,www.dartmouth.edu,Ivy League,"$58,000.00","$134,000.00","$63,100.00","$90,200.00","$234,000.00","$321,000.00",Northeastern,https://wikitravel.org/en/Hanover_(New_Hampshire)
6,6,11.0,Cornell University,Ithaca,NY,Private,14774.0,23016.0,31230.0,36164.0,70321.0,128200.0,13.0,1390.0,1550.0,31.0,34.0,www.cornell.edu,Ivy League,"$60,300.00","$110,000.00","$56,800.00","$79,800.00","$160,000.00","$210,000.00",Northeastern,https://wikitravel.org/en/Ithaca_(New_York)
7,7,12.0,Pomona College,Claremont,CA,Private,1599.0,1665.0,15840.0,48930.0,69725.0,117200.0,8.0,1370.0,1530.0,30.0,34.0,www.pomona.edu,Liberal Arts,"$48,600.00","$101,000.00",,"$63,300.00","$161,000.00",,California,https://wikitravel.org/en/Claremont_(California)
8,8,13.0,"University of California, Berkeley",Berkeley,CA,Public,31133.0,41891.0,15859.0,18319.0,65003.0,131800.0,17.0,1260.0,1480.0,30.0,34.0,www.berkeley.edu,State,"$59,900.00","$112,000.00","$59,500.00","$81,000.00","$149,000.00","$201,000.00",California,https://wikitravel.org/en/Berkeley_(California)
9,9,14.0,Columbia University,New York,NY,Private,8523.0,30454.0,24231.0,49185.0,74199.0,126800.0,7.0,1410.0,1570.0,31.0,34.0,www.columbia.edu,Ivy League,"$59,400.00","$107,000.00","$50,300.00","$71,900.00","$161,000.00","$241,000.00",Northeastern,https://wikitravel.org/en/New_York_City
10,10,19.0,Williams College,Williamstown,MA,Private,2134.0,2227.0,22667.0,48050.0,70650.0,127500.0,15.0,1400.0,1570.0,31.0,35.0,www.williams.edu,Liberal Arts,"$51,700.00","$102,000.00",,"$76,400.00","$143,000.00",,Northeastern,https://wikitravel.org/en/Williamstown_(Massachusetts)
11,11,23.0,Harvey Mudd College,Claremont,CA,Private,847.0,861.0,34464.0,33782.0,74428.0,158200.0,15.0,1470.0,1570.0,33.0,35.0,www.hmc.edu,Engineering,"$71,800.00","$122,000.00",,"$96,000.00","$180,000.00",,California,https://wikitravel.org/en/Claremont_(California)
12,12,25.0,Swarthmore College,Swarthmore,PA,Private,1577.0,1630.0,20511.0,46105.0,68846.0,123200.0,11.0,1380.0,1540.0,31.0,34.0,www.swarthmore.edu,Liberal Arts,"$49,700.00","$104,000.00",,"$67,200.00","$167,000.00",,Northeastern,https://wikitravel.org/en/Swarthmore
13,13,26.0,Bowdoin College,Brunswick,ME,Private,1816.0,1965.0,22810.0,41143.0,68070.0,112000.0,14.0,,,,,www.bowdoin.edu,Liberal Arts,"$48,100.00","$107,000.00",,"$74,600.00","$146,000.00",,Northeastern,https://wikitravel.org/en/Brunswick_(Maine)
14,14,28.0,Amherst College,Amherst,MA,Private,1836.0,1945.0,22463.0,49467.0,71300.0,116500.0,13.0,1400.0,1560.0,32.0,34.0,www.amherst.edu,Liberal Arts,"$54,500.00","$107,000.00",,"$84,900.00","$162,000.00",,Northeastern,https://wikitravel.org/en/Amherst_(Massachusetts)
15,15,36.0,Middlebury College,Middlebury,VT,Private,2591.0,3855.0,26075.0,43491.0,69464.0,109800.0,17.0,1320.0,1510.0,30.0,34.0,www.middlebury.edu,Liberal Arts,"$47,700.00","$94,200.00",,"$69,100.00","$129,000.00",,Northeastern,https://wikitravel.org/en/Middlebury_(Vermont)
16,16,39.0,Bates College,Lewiston,ME,Private,1787.0,1905.0,25192.0,43238.0,68870.0,111900.0,22.0,,,,,bates.edu,Liberal Arts,"$47,300.00","$96,500.00",,"$60,700.00","$162,000.00",,Northeastern,https://wikitravel.org/en/Lewiston
17,17,42.0,Washington and Lee University,Lexington,VA,Private,1855.0,2220.0,24761.0,39671.0,65950.0,123200.0,22.0,1350.0,1490.0,31.0,33.0,www.wlu.edu,Liberal Arts,"$53,600.00","$104,000.00",,"$82,800.00","$146,000.00",,Southern,https://wikitravel.org/en/Waynesboro
18,18,44.0,Wellesley College,Wellesley,MA,Private,2508.0,2688.0,23188.0,45777.0,69034.0,106200.0,22.0,1360.0,1530.0,30.0,33.0,www.wellesley.edu,Liberal Arts,"$42,800.00","$83,500.00",,"$58,600.00","$125,000.00",,Northeastern,https://wikitravel.org/en/Wellesley
19,19,46.0,Colgate University,Hamilton,NY,Private,2894.0,3025.0,23310.0,45108.0,69860.0,130600.0,28.0,1310.0,1500.0,31.0,33.0,www.colgate.edu,Liberal Arts,"$52,800.00","$108,000.00","$60,000.00","$76,700.00","$167,000.00","$265,000.00",Northeastern,https://wikitravel.org/en/Syracuse_(New_York)
20,20,48.0,Davidson College,Davidson,NC,Private,1810.0,1959.0,21206.0,36359.0,66678.0,106900.0,20.0,1310.0,1470.0,30.0,33.0,www.davidson.edu,Liberal Arts,"$46,100.00","$104,000.00",,"$70,500.00","$146,000.00",,Southern,https://wikitravel.org/en/Davidson
21,21,52.0,Carleton College,Northfield,MN,Private,2078.0,2155.0,27898.0,38342.0,68835.0,109900.0,21.0,1360.0,1530.0,31.0,34.0,www.carleton.edu,Liberal Arts,"$47,500.00","$103,000.00",,"$69,400.00","$141,000.00",,Midwestern,https://wikitravel.org/en/Northfield_(Minnesota)
22,22,57.0,Lafayette College,Easton,PA,Private,2569.0,2594.0,30820.0,39957.0,68640.0,122500.0,31.0,1260.0,1440.0,28.0,31.0,www.lafayette.edu,Liberal Arts,"$53,900.00","$107,000.00","$70,600.00","$79,300.00","$144,000.00","$204,000.00",Northeastern,https://wikitravel.org/en/Easton
23,23,58.0,Cooper Union,New York,NY,Private,921.0,946.0,14564.0,32452.0,65045.0,126200.0,13.0,1310.0,1530.0,28.0,34.0,cooper.edu,Engineering,"$62,200.00","$114,000.00",,"$80,200.00","$142,000.00",,Northeastern,https://wikitravel.org/en/New_York_City
24,24,59.0,Hamilton College,Clinton,NY,Private,1901.0,2043.0,24140.0,43611.0,67670.0,108100.0,24.0,1360.0,1510.0,31.0,33.0,www.hamilton.edu/index.cfm,Liberal Arts,"$49,200.00","$83,700.00",,"$51,900.00","$123,000.00",,Northeastern,https://wikitravel.org/en/Clinton_(New_York)
25,25,61.0,Vassar College,Poughkeepsie,NY,Private,2353.0,2572.0,23687.0,44517.0,70370.0,100100.0,24.0,1330.0,1500.0,30.0,33.0,www.vassar.edu,Liberal Arts,"$46,000.00","$94,600.00",,"$60,600.00","$123,000.00",,Northeastern,https://wikitravel.org/en/Poughkeepsie
26,26,63.0,"University of Maryland, College Park",College Park,MD,Public,32022.0,40521.0,18517.0,8955.0,49698.0,113400.0,45.0,1280.0,1470.0,29.0,33.0,www.umd.edu,Party,"$52,000.00","$95,000.00","$50,400.00","$68,300.00","$126,000.00","$166,000.00",Southern,https://wikitravel.org/en/College_Park_(Maryland)
